"index","r_odds","b_odds","gender"
0,-145,135,"male"
1,160,-170,"male"
2,-345,315,"male"
3,-137,127,"male"
4,-160,150,"male"
5,-150,140,"male"
6,-345,315,"female"
7,-122,112,"male"
8,170,-185,"male"
9,-140,130,"female"
10,-110,100,"male"
11,-155,145,"female"
12,-260,240,"male"
13,-185,170,"female"
14,-162,152,"male"
15,157,-167,"male"
16,-125,115,"male"
17,-330,300,"male"
18,-215,195,"male"
19,-570,480,"male"
20,125,-135,"male"
21,-170,160,"male"
22,-120,110,"male"
23,-150,130,"male"
24,-870,585,"female"
25,185,-225,"male"
26,-245,205,"female"
27,-475,380,"male"
28,-130,110,"male"
29,110,-130,"male"
30,-270,230,"male"
31,100,-120,"male"
32,-135,115,"male"
33,-190,165,"male"
34,105,-125,"male"
35,130,-150,"male"
36,100,-120,"male"
37,225,-265,"female"
38,130,-150,"male"
39,120,-140,"male"
40,-115,-105,"male"
41,-210,175,"male"
42,-200,170,"male"
43,170,-200,"male"
44,-260,220,"male"
45,155,-175,"female"
46,180,-220,"female"
47,-220,180,"male"
48,105,-125,"male"
49,-190,165,"male"
50,-245,205,"male"
51,-430,345,"male"
52,-350,290,"male"
53,-380,315,"male"
54,-300,250,"male"
55,-350,290,"male"
56,-420,335,"male"
57,-175,155,"female"
58,-125,105,"male"
59,-220,180,"male"
60,-235,195,"male"
61,-140,120,"male"
62,-185,160,"female"
63,-230,190,"male"
64,120,-140,"male"
65,-140,120,"female"
66,315,-380,"male"
67,190,-230,"male"
68,-255,215,"female"
69,-360,300,"male"
70,-670,485,"male"
71,-360,300,"female"
72,180,-220,"male"
73,220,-260,"male"
74,315,-380,"male"
75,260,-320,"male"
76,-470,375,"male"
77,-200,170,"female"
78,185,-225,"male"
79,-570,480,"male"
80,-570,435,"male"
81,-250,210,"female"
82,-235,195,"male"
83,135,-155,"male"
84,-175,155,"female"
85,-270,230,"male"
86,130,-150,"male"
87,-120,100,"male"
88,-345,285,"male"
89,130,-150,"male"
90,115,-135,"male"
91,-400,325,"male"
92,150,-170,"male"
93,-800,550,"female"
94,205,-245,"male"
95,100,-120,"female"
96,320,-355,"male"
97,150,-170,"male"
98,-220,180,"male"
99,-220,180,"male"
100,-160,140,"male"
101,-250,210,"female"
102,-115,-105,"male"
103,-220,180,"male"
104,-115,-105,"female"
105,-105,-105,"male"
106,-110,-110,"male"
107,130,-150,"male"
108,-105,-115,"male"
109,105,-125,"male"
110,-250,210,"male"
111,155,-175,"male"
112,-115,-105,"male"
113,115,-135,"female"
114,145,-165,"male"
115,110,-130,"female"
116,-185,160,"male"
117,150,-170,"male"
118,-400,325,"male"
119,-335,275,"male"
120,-380,315,"female"
121,-335,275,"male"
122,145,-165,"male"
123,145,-165,"male"
124,165,-190,"female"
125,-440,350,"male"
126,120,-140,"male"
127,-140,120,"male"
128,-150,130,"female"
129,-140,120,"male"
130,-300,250,"male"
131,-140,130,"male"
132,315,-380,"male"
133,-170,150,"male"
134,-390,320,"male"
135,-120,100,"male"
136,100,-120,"male"
137,-160,140,"female"
138,-155,145,"male"
139,180,-220,"female"
140,-550,425,"male"
141,-105,-115,"female"
142,-460,365,"male"
143,-920,610,"female"
144,-240,200,"male"
145,-125,105,"male"
146,-225,185,"male"
147,-170,130,"male"
148,-345,285,"male"
149,260,-320,"female"
150,-132,112,"male"
151,-125,105,"male"
152,-133,113,"male"
153,-210,175,"male"
154,-1100,700,"female"
155,-250,210,"male"
156,-145,125,"male"
157,-190,165,"male"
158,-225,185,"male"
159,-165,145,"male"
160,120,-140,"male"
161,-470,375,"male"
162,-160,140,"female"
163,100,-120,"male"
