,r_fighter,b_fighter,r_odds,b_odds,date_x,location,country,winner_x,title_bout,weight_class,gender,winner_resolved,location_resolved,r_reach,r_height,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date_y,winner_y,reach_win,height_win
0,kevin lee,charles oliveira,-145,135,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Blue,FALSE,Lightweight,male,,"brasilia, distrito federal",77,5'9,74,5'10,submission,3,5 rnd (5-5-5-5-5),00:10:28,keith peterson,2020-03-14,charles oliveira,False,True
1,demian maia,gilbert burns,160,-170,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Blue,FALSE,Welterweight,male,,"brasilia, distrito federal",72,6'1,71,5'10,ko/tko,1,3 rnd (5-5-5),00:02:34,keith peterson,2020-03-14,gilbert burns,False,False
2,renato moicano,damir hadzovic,-345,315,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Red,FALSE,Lightweight,male,,"brasilia, distrito federal",72,5'11,70,5'9,submission,1,3 rnd (5-5-5),00:00:44,keith peterson,2020-03-14,renato moicano,True,True
3,johnny walker,nikita krylov,-137,127,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Blue,FALSE,Light Heavyweight,male,,"brasilia, distrito federal",82,6'6,77,6'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,nikita krylov,False,False
4,francisco trinaldo,john makdessi,-160,150,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Red,FALSE,Lightweight,male,,"brasilia, distrito federal",70,5'9,68,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,francisco trinaldo,True,True
5,jussier formiga,brandon moreno,-150,140,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Blue,FALSE,Flyweight,male,,"brasilia, distrito federal",67,5'5,70,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,brandon moreno,True,True
6,amanda ribas,randa markos,-345,315,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Red,FALSE,Women's Strawweight,female,,"brasilia, distrito federal",66,5'3,63,5'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,amanda ribas,True,False
7,rani yahya,enrique barzola,170,-185,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Draw,FALSE,Bantamweight,male,,"brasilia, distrito federal",67,5'6,70,5'7,decision - majority,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,francisco trinaldo,False,False
8,mayra bueno silva,maryna moroz,-140,130,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Blue,FALSE,Women's Flyweight,female,,"brasilia, distrito federal",66,5'6,67,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,maryna moroz,True,True
9,veronica macedo,bea malecki,-155,145,2020-03-14,"Brasilia, Distrito Federal, Brazil",brazil,Blue,FALSE,Women's Bantamweight,female,,"brasilia, distrito federal",64,5'4,74,5'9,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-14,bea malecki,True,True
10,israel adesanya,yoel romero,-260,240,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,TRUE,Middleweight,male,,"las vegas, nevada",80,6'4,73,6'0,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2020-03-07,israel adesanya,True,True
11,beneil dariush,drakkar klose,-162,152,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Lightweight,male,,"las vegas, nevada",72,5'10,70,5'9,ko/tko,2,3 rnd (5-5-5),00:06:00,keith peterson,2020-03-07,beneil dariush,True,True
12,neil magny,li jingliang,157,-167,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",80,6'3,71,6'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-07,neil magny,True,True
13,alex oliveira,max griffin,-125,115,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Welterweight,male,,"las vegas, nevada",76,5'11,76,5'11,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-07,alex oliveira,True,True
14,sean o'malley,jose quinonez,-330,300,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Bantamweight,male,,"las vegas, nevada",72,5'11,69,5'8,ko/tko,1,3 rnd (5-5-5),00:02:02,keith peterson,2020-03-07,sean o'malley,True,True
15,mark madsen,austin hubbard,-215,195,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Lightweight,male,,"las vegas, nevada",72,5'8,71,5'10,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2020-03-07,mark madsen,True,False
16,rodolfo vieira,saparbeg safarov,-570,480,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Middleweight,male,,"las vegas, nevada",73,6'0,78,6'1,submission,1,3 rnd (5-5-5),00:02:58,keith peterson,2020-03-07,rodolfo vieira,False,False
17,gerald meerschaert,deron winn,125,-135,2020-03-07,"Las Vegas, Nevada, USA",usa,Red,FALSE,Middleweight,male,,"las vegas, nevada",77,6'1,70,5'6,submission,3,3 rnd (5-5-5),00:12:13,keith peterson,2020-03-07,gerald meerschaert,True,True
