"index","r_odds","b_odds","weight_class"
0,-145,135,"Lightweight"
1,160,-170,"Welterweight"
2,-345,315,"Lightweight"
3,-137,127,"Light Heavyweight"
4,-160,150,"Lightweight"
5,-150,140,"Flyweight"
6,-345,315,"Women's Strawweight"
7,-122,112,"Welterweight"
8,170,-185,"Bantamweight"
9,-140,130,"Women's Flyweight"
10,-110,100,"Flyweight"
11,-155,145,"Women's Bantamweight"
12,-260,240,"Middleweight"
13,-185,170,"Women's Strawweight"
14,-162,152,"Lightweight"
15,157,-167,"Welterweight"
16,-125,115,"Welterweight"
17,-330,300,"Bantamweight"
18,-215,195,"Lightweight"
19,-570,480,"Middleweight"
20,125,-135,"Middleweight"
21,-170,160,"Featherweight"
22,-120,110,"Bantamweight"
23,-150,130,"Flyweight"
24,-870,585,"Women's Featherweight"
25,185,-225,"Light Heavyweight"
26,-245,205,"Women's Featherweight"
27,-475,380,"Featherweight"
28,-130,110,"Bantamweight"
29,110,-130,"Middleweight"
30,-270,230,"Lightweight"
31,100,-120,"Heavyweight"
32,-135,115,"Featherweight"
33,-190,165,"Featherweight"
34,105,-125,"Welterweight"
35,130,-150,"Lightweight"
36,100,-120,"Light Heavyweight"
37,225,-265,"Women's Strawweight"
38,130,-150,"Heavyweight"
39,120,-140,"Lightweight"
40,-115,-105,"Featherweight"
41,-210,175,"Lightweight"
42,-200,170,"Welterweight"
43,170,-200,"Welterweight"
44,-260,220,"Flyweight"
45,155,-175,"Women's Strawweight"
46,180,-220,"Women's Flyweight"
47,-220,180,"Heavyweight"
48,105,-125,"Flyweight"
49,-190,165,"Welterweight"
50,-245,205,"Lightweight"
51,-430,345,"Lightweight"
52,-350,290,"Light Heavyweight"
53,-380,315,"Bantamweight"
54,-300,250,"Light Heavyweight"
55,-350,290,"Lightweight"
56,-420,335,"Light Heavyweight"
57,-175,155,"Women's Strawweight"
58,-125,105,"Heavyweight"
59,-220,180,"Featherweight"
60,-235,195,"Welterweight"
61,-140,120,"Bantamweight"
62,-185,160,"Women's Flyweight"
