,r_fighter,r_reach,r_height,b_fighter,b_reach,b_height,win_type,last_round,match_type,match_length,referee,date,winner,reach_win,height_win
0,adrian yanez,70,5'7,gustavo lopez,67,5'5,ko/tko,3,3 rnd (5-5-5),00:10:27,keith peterson,2021-03-20,adrian yanez,True,True
1,trevin giles,74,6'0,roman dolidze,76,6'2,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-20,trevin giles,False,False
2,tai tuivasa,75,6'2,harry hunsucker,75,6'2,ko/tko,1,3 rnd (5-5-5),00:00:49,keith peterson,2021-03-20,tai tuivasa,True,True
3,cheyanne buys,63,5'3,montserrat conejo,61,5'0,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-20,montserrat conejo,False,False
4,marion reneau,68,5'6,macy chiasson,72,5'11,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-20,macy chiasson,True,True
5,leonardo santos,75,6'0,grant dawson,72,5'10,ko/tko,3,3 rnd (5-5-5),00:14:59,keith peterson,2021-03-20,grant dawson,False,False
6,song kenan,71,6'0,max griffin,76,5'11,ko/tko,1,3 rnd (5-5-5),00:02:20,keith peterson,2021-03-20,max griffin,True,True
7,derek brunson,77,6'1,kevin holland,81,6'3,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-03-20,derek brunson,False,False
8,montel jackson,75,5'10,jesse strader,70,5'7,ko/tko,1,3 rnd (5-5-5),00:01:58,keith peterson,2021-03-20,montel jackson,True,True
9,manel kape,68,5'5,matheus nicolau,66,5'6,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,matheus nicolau,False,True
10,misha cirkunov,77,6'3,ryan spann,79,6'5,ko/tko,1,3 rnd (5-5-5),00:01:11,keith peterson,2021-03-13,ryan spann,True,True
11,leon edwards,74,6'2,belal muhammad,72,5'11,could not continue,2,5 rnd (5-5-5-5-5),00:05:18,keith peterson,2021-03-13,ryan spann,False,False
12,charles jourdain,69,5'9,marcelo rojo,71,5'8,ko/tko,3,3 rnd (5-5-5),00:14:31,keith peterson,2021-03-13,charles jourdain,False,True
13,eryk anders,75,6'1,darren stewart,74,6'0,could not continue,1,3 rnd (5-5-5),00:04:37,keith peterson,2021-03-13,charles jourdain,False,False
14,angela hill,64,5'3,ashley yoder,69,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,angela hill,False,False
15,jonathan martinez,70,5'8,davey grant,69,5'8,ko/tko,2,3 rnd (5-5-5),00:08:03,keith peterson,2021-03-13,davey grant,False,False
16,dan ige,71,5'7,gavin tucker,66,5'6,ko/tko,1,3 rnd (5-5-5),00:00:22,keith peterson,2021-03-13,dan ige,True,True
17,nasrat haqparast,72,5'10,rafa garcia,70,5'7,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,nasrat haqparast,True,True
18,cortney casey,67,5'7,jj aldrich,67,5'5,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,jj aldrich,False,False
19,matthew semelsberger,75,6'1,jason witt,70,5'10,ko/tko,1,3 rnd (5-5-5),00:00:16,keith peterson,2021-03-13,matthew semelsberger,True,True
20,rani yahya,67,5'6,ray rodriguez,70,5'7,submission,2,3 rnd (5-5-5),00:08:09,keith peterson,2021-03-13,rani yahya,False,False
21,gloria de paula,67,5'5,jinh yu frey,65,5'3,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-13,jinh yu frey,False,False
22,dominick cruz,68,5'8,casey kenney,68,5'7,decision - split,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,dominick cruz,True,True
23,song yadong,67,5'8,kyler phillips,72,5'8,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,kyler phillips,True,False
24,petr yan,67,5'7,aljamain sterling,71,5'7,dq,4,5 rnd (5-5-5-5-5),00:19:29,keith peterson,2021-03-06,aljamain sterling,True,False
25,jan blachowicz,78,6'2,israel adesanya,80,6'4,decision - unanimous,5,5 rnd (5-5-5-5-5),00:25:00,keith peterson,2021-03-06,jan blachowicz,False,False
26,thiago santos,76,6'2,aleksandar rakic,78,6'4,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,aleksandar rakic,True,True
27,joseph benavidez,65,5'4,askar askarov,67,5'6,decision - unanimous,3,3 rnd (5-5-5),00:15:00,keith peterson,2021-03-06,askar askarov,True,True
